,transDate,creditCardNum,business,category,amount,firstName,lastName,gender,street,city,state,zip,latitude,longitude,cityPop,job,dateOfBirth,transNum,unixTime,merchLatitude,merchLongitude,isFraud
0,2020-06-27 19:47,3573390000000000,fraud_Volkman Ltd,misc_net,667.17,Stephanie,Murphy,F,526 Stacy Walks,Barnard,SD,57426,45.7205,-98.5534,63,Systems developer,1969-10-30,276495f58de3af46843647fdd00843eb,1372362479,46.0403,-97.71046,True
1,2020-12-16 06:29,3579200000000000,fraud_Pfeffer and Sons,shopping_pos,132.4,Tyler,Small,M,047 Kevin Haven,Boyd,WI,54726,44.9437,-91.0294,1690,IT trainer,1975-12-24,0bd7e2199cc5dbe847d90f1ca1d94974,1387175381,45.680527,-91.026459,False
2,2020-08-08 22:02,343819000000000,fraud_Kovacek Ltd,travel,10.45,Shelby,Cannon,F,1535 Ryan Burgs Suite 919,Des Moines,IA,50312,41.5855,-93.6719,222785,Wellsite geologist,1956-01-24,873e753bf1a897daf144b2fe9b039fd2,1375999332,41.593729,-94.291725,False
3,2020-12-16 23:41,4292900000000000000,fraud_Lemke and Sons,travel,8.89,Jeffrey,Smith,M,135 Joseph Mountains,Sula,MT,59871,45.8433,-113.8748,218,"Therapist, horticultural",1995-08-16,fdfa039f3d2678522f57003bf1c38a7f,1387237267,46.478129,-114.636119,False
4,2020-09-24 01:14,4427810000000,fraud_Kerluke Inc,misc_net,809.83,Michelle,Rodriguez,F,1742 Brandon Squares Apt. 461,Ruidoso,NM,88355,33.3305,-105.6933,8874,Licensed conveyancer,2000-08-16,f442042f8f14ec7cd9d5fddece9b75b2,1379985277,32.842035,-104.904134,True
5,2020-12-11 16:26,3566880000000000,fraud_Schroeder Group,health_fitness,75.08,Adam,Mcdonald,M,997 Cameron Meadow Apt. 980,South Hero,VT,5486,44.64,-73.3113,1654,Transport planner,1991-01-31,9de1e05e1f0f03d592679e3cba6b9c9f,1386779193,43.819077,-74.101998,False
6,2020-12-25 21:21,30273000000000,fraud_Gibson-Deckow,entertainment,70.62,Andrew,Patterson,M,06959 Stephen Branch Suite 246,Thida,AR,72165,35.5762,-91.4539,111,Careers information officer,2000-06-13,818a50a568aded08228bd372dbda1b7f,1388006473,36.038563,-91.127463,False
7,2020-09-21 21:59,4424340000000000,fraud_Abshire PLC,entertainment,20.98,Denise,Barnett,F,23220 Eaton Harbors,Kirby,OH,43330,40.813,-83.4196,118,Private music teacher,1957-11-12,688d3a9b107d0de560a6d4604d65054c,1379800758,41.183985,-84.048776,False
8,2020-12-01 07:02,5456780000000000,"fraud_Streich, Hansen and Veum",gas_transport,51.87,Taylor,Khan,F,658 Diane Glen Apt. 677,North Washington,PA,16048,41.0472,-79.8089,139,Patent attorney,1954-05-25,62ebbf9e78379a44e4a07b808b0f50f6,1385881333,40.386626,-79.829992,False
9,2020-12-26 20:10,584674000000,fraud_Bartoletti and Sons,personal_care,41.04,Jessica,Jordan,F,071 Wise Trace,Coleharbor,ND,58531,47.5196,-101.2332,307,Make,1930-08-13,e1070d9b3c3e3bd3c0a7a2636ae41587,1388088612,46.91314,-100.740986,False
10,2020-12-28 12:17,3597930000000000,"fraud_Kutch, Steuber and Gerhold",food_dining,33.29,Derrick,Flores,M,83690 Nicholas Ports Apt. 846,Oakland,TN,38060,35.2229,-89.5518,9496,Furniture conservator/restorer,1993-03-23,23d632f08749b8fdac5fa2a13fbb1b2b,1388233029,34.927866,-90.144866,False
11,2020-11-30 06:12,4170690000000000,fraud_Kilback LLC,grocery_pos,66.23,Samuel,Frey,M,830 Myers Plaza Apt. 384,Edmond,OK,73034,35.6665,-97.4798,116001,Media buyer,1993-05-10,2a04ec2113f982994b7cf81141fecfb2,1385791928,35.832479,-97.442646,False
12,2020-12-13 22:23,6550400000000000,"fraud_Bahringer, Osinski and Block",food_dining,13.94,Harry,Mckee,M,95351 Sullivan Viaduct Apt. 239,Port Charlotte,FL,33981,26.9379,-82.2388,79008,Quantity surveyor,1984-08-31,e5824ccf100a08a51c4798f6c9427cab,1386973400,27.280396,-82.237095,False
13,2020-12-18 13:13,4424340000000000,fraud_Hirthe-Beier,health_fitness,49.2,Denise,Barnett,F,23220 Eaton Harbors,Kirby,OH,43330,40.813,-83.4196,118,Private music teacher,1957-11-12,0c30727acb7bf725faf8bc4be9581f6f,1387372401,40.023672,-83.687464,False
14,2020-09-17 07:18,30029100000000,fraud_Kilback LLC,grocery_pos,326.32,Curtis,Young,M,4319 Watson Shoals Suite 658,Falconer,NY,14733,42.1239,-79.1895,3833,Metallurgist,1970-10-09,32eaf4b308bbcc20d254f05580e8d47d,1379402311,42.263151,-78.595608,True
15,2020-12-16 22:47,180040000000000,"fraud_Rippin, Kub and Mann",misc_net,848.91,Mary,Schmidt,F,022 Moore Island,New York City,NY,10162,40.7699,-73.9511,1577385,Audiological scientist,1957-12-29,7c646e95b7ce0f284a9aada19d5c9fdc,1387234023,40.073253,-74.063548,True
16,2020-12-27 05:58,4449530000000000,fraud_Wiza LLC,misc_pos,1.18,Felicia,Mckee,F,84079 Thomas Burgs,Tomales,CA,94971,38.2427,-122.9145,337,Occupational psychologist,1954-07-05,f1ebf96ecf4a55febc7497ef990a806a,1388123913,39.209112,-123.620366,False
17,2020-09-17 22:19,30235400000000,fraud_Wilkinson Ltd,entertainment,42.23,James,Baldwin,M,3603 Mitchell Court,Winfield,WV,25213,38.5072,-81.89,5512,Exhibition designer,1980-03-24,650a911aca270f258b0752dc050049ea,1379456346,38.319923,-82.424796,False
18,2020-08-18 02:04,4396680000000,fraud_Pouros-Conroy,shopping_pos,1.42,Scott,Cole,M,646 Louis Fort Apt. 665,North Las Vegas,NV,89084,36.2815,-115.1482,214518,Catering manager,1960-01-16,4df8d96a3274591049d6ad900d4f015b,1376791487,36.789626,-114.219996,False
19,2020-12-14 04:45,4181830000000000000,"fraud_Greenholt, Jacobi and Gleason",gas_transport,73.02,Jessica,Potter,F,7600 Stephen Course Suite 031,Red River,NM,87558,36.6659,-105.4694,606,"Surveyor, land/geomatics",1988-09-06,3c07072ff7083dc4ade101209e866569,1386996325,36.972735,-105.969745,False
